# Time-averaged data for fix pave
# TimeStep v_pressure
279359000 997.939
279360000 998.04
279361000 998.196
279362000 998.467
279363000 998.513
279364000 998.613
279365000 998.814
279366000 999.108
279367000 999.44
279368000 999.884
279369000 1000.02
279370000 1000.05
279371000 1000.04
279372000 999.962
279373000 1000.09
279374000 1000.32
279375000 1000.15
279376000 999.899
279377000 999.94
279378000 999.795
279379000 999.615
279380000 999.357
279381000 999.261
279382000 999.288
279383000 999.434
279384000 999.596
279385000 999.808
279386000 999.875
279387000 999.717
279388000 999.636
279389000 999.516
279390000 999.414
279391000 999.553
279392000 999.706
279393000 999.975
279394000 1000.19
279395000 1000.61
279396000 1000.9
279397000 1001.28
279398000 1001.35
279399000 1001.4
279400000 1001.4
279401000 1001.34
279402000 1001.49
279403000 1001.59
279404000 1001.6
279405000 1001.37
279406000 1001.14
279407000 1000.83
279408000 1000.66
279409000 1000.5
279410000 1000.57
279411000 1000.6
279412000 1000.65
279413000 1000.65
279414000 1000.33
279415000 1000.22
279416000 999.957
279417000 999.731
279418000 999.477
279419000 999.176
279420000 999.191
279421000 999.125
279422000 999.066
279423000 998.889
279424000 998.843
279425000 998.899
279426000 998.885
279427000 998.988
279428000 998.902
279429000 998.929
279430000 999.038
279431000 999.092
279432000 999.179
279433000 999.245
279434000 999.357
279435000 999.488
279436000 999.603
279437000 999.684
279438000 999.694
279439000 999.819
279440000 999.731
279441000 999.688
279442000 999.452
279443000 999.535
279444000 999.639
279445000 999.459
279446000 999.504
279447000 999.347
279448000 999.332
279449000 999.429
279450000 999.442
279451000 999.553
279452000 999.71
279453000 999.777
279454000 999.945
279455000 1000.03
279456000 999.903
279457000 999.781
279458000 999.769
279459000 999.653
279460000 999.894
279461000 1000.1
279462000 1000.16
279463000 1000.16
279464000 1000
279465000 1000.09
279466000 1000.04
279467000 999.826
279468000 999.852
279469000 999.842
279470000 999.873
279471000 1000.12
279472000 1000.3
279473000 1000.7
279474000 1000.87
279475000 1000.99
279476000 1001.08
279477000 1001.2
279478000 1001.25
279479000 1001.25
279480000 1001.26
279481000 1001.42
279482000 1001.56
279483000 1001.6
279484000 1001.76
279485000 1001.84
279486000 1001.9
279487000 1001.72
279488000 1001.53
279489000 1001.7
279490000 1001.66
279491000 1001.5
279492000 1001.41
279493000 1001.36
279494000 1001.49
279495000 1001.46
279496000 1001.55
279497000 1001.46
279498000 1001.52
279499000 1001.51
279500000 1001.5
279501000 1001.68
279502000 1001.71
279503000 1001.56
279504000 1001.5
279505000 1001.71
279506000 1001.72
279507000 1001.82
279508000 1001.73
279509000 1001.59
279510000 1001.57
279511000 1001.55
279512000 1001.52
279513000 1001.62
279514000 1001.58
279515000 1001.58
279516000 1001.84
279517000 1001.83
279518000 1001.94
279519000 1002.03
279520000 1002.22
279521000 1002.54
279522000 1002.87
279523000 1002.83
279524000 1002.99
279525000 1003.35
279526000 1003.41
279527000 1003.61
279528000 1003.83
279529000 1003.8
279530000 1003.83
279531000 1003.74
279532000 1003.72
279533000 1003.68
279534000 1003.8
279535000 1003.85
279536000 1003.96
279537000 1003.9
279538000 1003.93
279539000 1003.86
279540000 1003.7
279541000 1003.75
279542000 1003.66
279543000 1003.37
279544000 1003.18
279545000 1002.94
279546000 1002.83
279547000 1002.68
279548000 1002.48
279549000 1002.43
279550000 1002.46
279551000 1002.25
279552000 1002.27
279553000 1002.28
279554000 1002.33
279555000 1002.47
279556000 1002.45
279557000 1002.33
279558000 1002.36
279559000 1002.28
279560000 1002.38
279561000 1002.62
279562000 1002.91
279563000 1003.06
279564000 1003.18
279565000 1003.21
279566000 1003.32
279567000 1003.47
279568000 1003.52
279569000 1003.49
279570000 1003.45
279571000 1003.5
279572000 1003.48
279573000 1003.6
279574000 1003.75
279575000 1004.21
279576000 1004.42
279577000 1004.51
279578000 1004.68
279579000 1004.59
279580000 1004.4
279581000 1004.28
279582000 1004.38
279583000 1004.55
279584000 1004.74
279585000 1004.88
279586000 1004.86
279587000 1004.75
279588000 1004.7
279589000 1004.68
279590000 1004.78
279591000 1004.75
279592000 1004.71
279593000 1004.7
279594000 1004.83
279595000 1005
279596000 1005.06
279597000 1004.99
279598000 1005.06
279599000 1005.02
279600000 1005.14
279601000 1004.97
279602000 1004.85
279603000 1004.76
279604000 1004.85
279605000 1004.85
279606000 1004.9
279607000 1004.94
279608000 1004.89
279609000 1004.91
279610000 1004.79
279611000 1004.76
279612000 1004.73
279613000 1004.68
279614000 1004.66
279615000 1004.81
279616000 1005.02
279617000 1005.21
279618000 1005.47
279619000 1005.68
279620000 1005.92
279621000 1006.34
279622000 1006.36
279623000 1006.42
279624000 1006.41
279625000 1006.46
279626000 1006.63
279627000 1006.75
279628000 1006.79
279629000 1006.72
279630000 1006.9
279631000 1007.12
279632000 1007.15
279633000 1007.23
279634000 1007.33
279635000 1007.45
279636000 1007.47
279637000 1007.74
279638000 1007.96
279639000 1008.16
279640000 1008.31
279641000 1008.37
279642000 1008.47
279643000 1008.54
279644000 1008.68
279645000 1008.66
279646000 1008.6
279647000 1008.67
279648000 1008.71
279649000 1008.91
279650000 1008.97
279651000 1009
279652000 1009.08
279653000 1009.14
279654000 1009.23
279655000 1009.29
279656000 1009.42
279657000 1009.42
279658000 1009.64
279659000 1009.61
279660000 1009.64
279661000 1009.77
279662000 1009.91
279663000 1009.76
279664000 1009.58
279665000 1009.51
279666000 1009.45
279667000 1009.53
279668000 1009.57
279669000 1009.51
279670000 1009.35
279671000 1009.29
279672000 1009.2
279673000 1009.23
279674000 1009.33
279675000 1009.36
279676000 1009.31
279677000 1009.27
279678000 1009.27
279679000 1009.39
279680000 1009.53
279681000 1009.56
279682000 1009.52
279683000 1009.56
279684000 1009.55
279685000 1009.51
279686000 1009.54
279687000 1009.55
279688000 1009.66
279689000 1009.62
279690000 1009.62
279691000 1009.73
279692000 1009.84
279693000 1009.94
279694000 1010.12
279695000 1010.28
279696000 1010.39
279697000 1010.49
279698000 1010.73
279699000 1010.81
279700000 1010.95
279701000 1011
279702000 1011.06
279703000 1011.21
279704000 1011.21
279705000 1011.19
279706000 1011.18
279707000 1011.09
279708000 1011
279709000 1010.96
279710000 1010.88
279711000 1010.8
279712000 1010.93
279713000 1010.87
279714000 1010.91
279715000 1010.83
279716000 1010.86
279717000 1010.72
279718000 1010.6
279719000 1010.62
279720000 1010.6
279721000 1010.71
279722000 1010.8
279723000 1010.93
279724000 1011.04
279725000 1011.02
279726000 1011.25
279727000 1011.24
279728000 1011.35
279729000 1011.41
279730000 1011.48
279731000 1011.56
279732000 1011.74
279733000 1011.82
279734000 1011.79
279735000 1011.79
279736000 1011.79
279737000 1011.72
279738000 1011.76
279739000 1011.82
279740000 1011.9
279741000 1012.12
279742000 1012.19
279743000 1012.4
279744000 1012.55
279745000 1012.77
279746000 1012.98
279747000 1013.09
279748000 1013.33
279749000 1013.57
279750000 1013.75
279751000 1013.88
279752000 1013.91
279753000 1013.92
279754000 1013.93
279755000 1014.08
279756000 1014.23
279757000 1014.4
279758000 1014.46
279759000 1014.65
279760000 1014.77
279761000 1014.97
279762000 1015.18
279763000 1015.34
279764000 1015.45
279765000 1015.53
279766000 1015.58
279767000 1015.75
279768000 1015.9
279769000 1016.16
279770000 1016.37
279771000 1016.44
279772000 1016.46
279773000 1016.46
279774000 1016.61
279775000 1016.74
279776000 1016.8
279777000 1017.09
