# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
23297000 292.303 100649 0.871924 2138.36 46.5161 46.5161 46.5161
23298000 291.854 100650 0.871918 2120.06 46.5163 46.5163 46.5163
23299000 292.255 100651 0.871911 2136.29 46.5164 46.5164 46.5164
23300000 293.994 100652 0.871905 2167.32 46.5165 46.5165 46.5165
23301000 294.102 100652 0.871899 2166.23 46.5166 46.5166 46.5166
23302000 292.801 100653 0.871892 2146.21 46.5167 46.5167 46.5167
23303000 294.674 100654 0.871886 2171.05 46.5168 46.5168 46.5168
23304000 291.952 100655 0.87188 2131.47 46.5169 46.5169 46.5169
23305000 291.069 100655 0.871873 2104.25 46.5171 46.5171 46.5171
23306000 291.789 100656 0.871867 2102.13 46.5172 46.5172 46.5172
23307000 295.389 100657 0.871861 2195.46 46.5173 46.5173 46.5173
23308000 293.627 100657 0.871854 2158.14 46.5174 46.5174 46.5174
23309000 292.501 100658 0.871848 2140.7 46.5175 46.5175 46.5175
23310000 295.037 100659 0.871841 2189.34 46.5176 46.5176 46.5176
23311000 291.996 100660 0.871835 2123.09 46.5177 46.5177 46.5177
23312000 294.576 100660 0.871829 2180.84 46.5178 46.5178 46.5178
23313000 292.965 100661 0.871822 2134.3 46.518 46.518 46.518
23314000 292.485 100662 0.871816 2142.16 46.5181 46.5181 46.5181
23315000 294.423 100663 0.87181 2192.96 46.5182 46.5182 46.5182
23316000 292.973 100663 0.871803 2156.54 46.5183 46.5183 46.5183
23317000 290.714 100664 0.871797 2092.78 46.5184 46.5184 46.5184
23318000 293.856 100665 0.871791 2162.83 46.5185 46.5185 46.5185
23319000 293.517 100666 0.871784 2150.32 46.5186 46.5186 46.5186
23320000 291.727 100666 0.871778 2097.24 46.5187 46.5187 46.5187
23321000 292.403 100667 0.871771 2106.26 46.5189 46.5189 46.5189
23322000 293.871 100668 0.871765 2163.91 46.519 46.519 46.519
23323000 295.209 100668 0.871759 2185.5 46.5191 46.5191 46.5191
23324000 292.126 100669 0.871752 2098.29 46.5192 46.5192 46.5192
23325000 293.16 100670 0.871746 2117.9 46.5193 46.5193 46.5193
23326000 291.082 100671 0.87174 2078.66 46.5194 46.5194 46.5194
23327000 290.345 100671 0.871733 2086.09 46.5195 46.5195 46.5195
23328000 293.53 100672 0.871727 2158 46.5197 46.5197 46.5197
23329000 294.188 100673 0.871721 2146.49 46.5198 46.5198 46.5198
23330000 293.587 100674 0.871714 2166.51 46.5199 46.5199 46.5199
23331000 291.248 100674 0.871708 2082.17 46.52 46.52 46.52
23332000 293.091 100675 0.871701 2133.57 46.5201 46.5201 46.5201
23333000 292.251 100676 0.871695 2100.58 46.5202 46.5202 46.5202
23334000 293.604 100677 0.871689 2116.96 46.5203 46.5203 46.5203
23335000 291.704 100677 0.871682 2103.6 46.5204 46.5204 46.5204
23336000 294.877 100678 0.871676 2163.15 46.5206 46.5206 46.5206
23337000 292.349 100679 0.87167 2094.66 46.5207 46.5207 46.5207
23338000 294.436 100680 0.871663 2143.58 46.5208 46.5208 46.5208
23339000 293.838 100680 0.871657 2135.79 46.5209 46.5209 46.5209
23340000 294.174 100681 0.871651 2141.98 46.521 46.521 46.521
23341000 293.892 100682 0.871644 2127.12 46.5211 46.5211 46.5211
23342000 292.226 100682 0.871638 2104.29 46.5212 46.5212 46.5212
23343000 293.405 100683 0.871632 2137.17 46.5214 46.5214 46.5214
23344000 294.441 100684 0.871625 2138.38 46.5215 46.5215 46.5215
23345000 292.556 100685 0.871619 2069.81 46.5216 46.5216 46.5216
23346000 293.828 100685 0.871612 2107.15 46.5217 46.5217 46.5217
23347000 292.594 100686 0.871606 2089.02 46.5218 46.5218 46.5218
23348000 293.987 100687 0.8716 2134.08 46.5219 46.5219 46.5219
23349000 292.393 100688 0.871593 2097.73 46.522 46.522 46.522
23350000 292.361 100688 0.871587 2098.27 46.5221 46.5221 46.5221
23351000 291.555 100689 0.871581 2039.8 46.5223 46.5223 46.5223
23352000 295.445 100690 0.871574 2136.06 46.5224 46.5224 46.5224
23353000 293.744 100691 0.871568 2124.23 46.5225 46.5225 46.5225
23354000 293.501 100691 0.871562 2102.49 46.5226 46.5226 46.5226
23355000 292.413 100692 0.871555 2091.45 46.5227 46.5227 46.5227
23356000 292.96 100693 0.871549 2103.52 46.5228 46.5228 46.5228
23357000 292.479 100693 0.871542 2096.91 46.5229 46.5229 46.5229
23358000 291.334 100694 0.871536 2094.33 46.523 46.523 46.523
23359000 294.084 100695 0.87153 2145.78 46.5232 46.5232 46.5232
