# Time-averaged data for fix dave
# TimeStep v_rho
125576000 0.764772
125577000 0.764772
125578000 0.76477
125579000 0.764762
125580000 0.76476
125581000 0.764751
125582000 0.764744
125583000 0.764737
125584000 0.764738
125585000 0.76473
125586000 0.764713
125587000 0.764709
125588000 0.764707
125589000 0.764714
125590000 0.764723
125591000 0.764724
125592000 0.764721
125593000 0.764712
125594000 0.764707
125595000 0.764692
125596000 0.764669
125597000 0.764644
125598000 0.764641
125599000 0.764632
125600000 0.764618
125601000 0.764607
125602000 0.764607
125603000 0.764605
125604000 0.764595
125605000 0.76459
125606000 0.764594
125607000 0.764582
125608000 0.764581
125609000 0.764578
125610000 0.764576
125611000 0.76457
125612000 0.76457
125613000 0.764562
125614000 0.764561
125615000 0.764557
125616000 0.764551
125617000 0.764555
125618000 0.764554
125619000 0.76454
125620000 0.76452
125621000 0.764512
125622000 0.764507
125623000 0.764504
125624000 0.764505
125625000 0.764501
125626000 0.764498
125627000 0.764488
125628000 0.764495
125629000 0.764502
125630000 0.764494
125631000 0.764495
125632000 0.764488
125633000 0.764477
125634000 0.764467
125635000 0.764454
125636000 0.764442
125637000 0.764425
125638000 0.764422
125639000 0.764415
125640000 0.764414
125641000 0.764423
125642000 0.764419
125643000 0.76442
125644000 0.764427
125645000 0.764429
125646000 0.764429
125647000 0.764427
125648000 0.764428
125649000 0.764423
125650000 0.764421
125651000 0.764416
125652000 0.764412
125653000 0.76442
125654000 0.764426
125655000 0.764428
125656000 0.764433
125657000 0.764451
125658000 0.764461
125659000 0.764466
125660000 0.764474
125661000 0.764474
125662000 0.764477
125663000 0.764478
125664000 0.764479
125665000 0.764481
125666000 0.764481
125667000 0.764481
125668000 0.764481
125669000 0.764485
125670000 0.764493
125671000 0.764496
125672000 0.764494
125673000 0.764491
125674000 0.76449
125675000 0.764499
125676000 0.764505
125677000 0.764516
125678000 0.764521
125679000 0.764505
125680000 0.764494
125681000 0.764482
125682000 0.764471
125683000 0.764463
125684000 0.76446
125685000 0.764447
125686000 0.764444
125687000 0.764442
125688000 0.76444
125689000 0.764446
125690000 0.764453
125691000 0.764459
125692000 0.764465
125693000 0.764465
125694000 0.764466
125695000 0.764466
125696000 0.764468
125697000 0.764469
125698000 0.764464
125699000 0.764463
125700000 0.764463
125701000 0.76446
125702000 0.764466
125703000 0.764461
125704000 0.764463
125705000 0.764468
125706000 0.764469
125707000 0.764473
125708000 0.764482
125709000 0.764483
125710000 0.764484
125711000 0.764493
125712000 0.7645
125713000 0.764501
125714000 0.764508
125715000 0.764514
125716000 0.764521
125717000 0.764523
125718000 0.764529
125719000 0.764533
125720000 0.76454
125721000 0.764549
125722000 0.764549
125723000 0.764551
125724000 0.764555
125725000 0.764556
125726000 0.764555
125727000 0.764559
125728000 0.764563
125729000 0.764564
125730000 0.76457
125731000 0.764578
125732000 0.764585
125733000 0.764586
125734000 0.764585
125735000 0.764586
125736000 0.764591
125737000 0.764597
125738000 0.764606
125739000 0.764609
125740000 0.764619
125741000 0.764633
125742000 0.764651
125743000 0.764662
125744000 0.76468
125745000 0.764691
125746000 0.764698
125747000 0.764705
125748000 0.764711
125749000 0.76472
125750000 0.764726
125751000 0.764736
125752000 0.764738
125753000 0.764746
125754000 0.764749
125755000 0.76475
125756000 0.764758
125757000 0.764761
125758000 0.764763
125759000 0.764781
125760000 0.764794
125761000 0.764801
125762000 0.764809
125763000 0.764811
125764000 0.764813
125765000 0.764816
125766000 0.764816
125767000 0.764822
125768000 0.764836
125769000 0.764853
125770000 0.764862
125771000 0.764872
125772000 0.76488
125773000 0.764882
125774000 0.764891
125775000 0.764901
125776000 0.764903
125777000 0.76491
125778000 0.764914
125779000 0.764922
