# Time-averaged data for fix dave
# TimeStep v_massdensity
19192000 0.866947
19193000 0.866947
19194000 0.866948
19195000 0.866952
19196000 0.866954
19197000 0.866954
19198000 0.866954
19199000 0.866955
19200000 0.866958
19201000 0.86696
19202000 0.866962
19203000 0.866965
19204000 0.866966
19205000 0.866969
19206000 0.866973
19207000 0.866975
19208000 0.866978
19209000 0.86698
19210000 0.866983
19211000 0.866985
19212000 0.866985
19213000 0.866985
19214000 0.866984
19215000 0.866984
19216000 0.866985
19217000 0.866985
19218000 0.866988
19219000 0.866989
19220000 0.866991
19221000 0.866991
19222000 0.866993
19223000 0.866993
19224000 0.866994
19225000 0.866995
19226000 0.866995
19227000 0.866996
19228000 0.866996
19229000 0.866998
19230000 0.867
19231000 0.867001
19232000 0.867004
19233000 0.867004
19234000 0.867006
19235000 0.867005
19236000 0.867004
19237000 0.867003
19238000 0.867004
19239000 0.867005
19240000 0.867004
19241000 0.867004
19242000 0.867005
19243000 0.867005
19244000 0.867004
19245000 0.867006
19246000 0.867008
19247000 0.867011
19248000 0.86701
19249000 0.86701
19250000 0.867009
19251000 0.867011
19252000 0.867011
19253000 0.867011
19254000 0.867012
19255000 0.867013
19256000 0.867013
19257000 0.867013
19258000 0.867015
19259000 0.867016
19260000 0.867018
19261000 0.86702
19262000 0.867021
19263000 0.867023
19264000 0.867023
19265000 0.867024
19266000 0.867026
19267000 0.867025
19268000 0.867026
19269000 0.867028
19270000 0.867029
19271000 0.867032
19272000 0.867035
19273000 0.867037
19274000 0.867037
19275000 0.867039
19276000 0.86704
19277000 0.867044
19278000 0.867046
19279000 0.867048
19280000 0.86705
19281000 0.867051
19282000 0.867053
19283000 0.867056
19284000 0.867059
19285000 0.86706
19286000 0.867062
19287000 0.867064
19288000 0.867064
19289000 0.867065
19290000 0.867069
19291000 0.867069
19292000 0.867071
19293000 0.867072
19294000 0.867074
19295000 0.867076
19296000 0.867075
19297000 0.867074
19298000 0.867075
19299000 0.867078
19300000 0.867078
19301000 0.867082
19302000 0.867084
19303000 0.867086
19304000 0.867087
19305000 0.867088
19306000 0.867089
19307000 0.867091
19308000 0.867093
19309000 0.867094
19310000 0.867097
19311000 0.867101
19312000 0.867103
19313000 0.867104
19314000 0.867106
19315000 0.867108
19316000 0.86711
19317000 0.867114
19318000 0.867115
19319000 0.867118
19320000 0.86712
19321000 0.867124
19322000 0.867126
19323000 0.867129
19324000 0.867131
19325000 0.867133
19326000 0.867135
19327000 0.867138
19328000 0.86714
19329000 0.867142
19330000 0.867146
19331000 0.867149
19332000 0.86715
19333000 0.867152
19334000 0.867155
19335000 0.867157
19336000 0.867159
19337000 0.867161
19338000 0.867162
19339000 0.867163
19340000 0.867164
19341000 0.867166
19342000 0.86717
19343000 0.867173
19344000 0.867174
19345000 0.867176
19346000 0.867179
19347000 0.86718
19348000 0.867184
19349000 0.867187
19350000 0.86719
19351000 0.867191
19352000 0.867195
19353000 0.867198
19354000 0.867201
19355000 0.867204
19356000 0.867207
19357000 0.867211
19358000 0.867212
19359000 0.867215
19360000 0.867219
19361000 0.867222
19362000 0.867224
19363000 0.867228
19364000 0.867229
19365000 0.867231
19366000 0.867233
19367000 0.867234
19368000 0.867236
19369000 0.867237
19370000 0.867238
19371000 0.867239
19372000 0.867241
19373000 0.867241
19374000 0.867242
19375000 0.867243
19376000 0.867247
19377000 0.867248
19378000 0.86725
19379000 0.867252
19380000 0.867254
19381000 0.867255
19382000 0.867256
19383000 0.867259
19384000 0.86726
19385000 0.867262
19386000 0.867263
19387000 0.867264
19388000 0.867265
19389000 0.867266
19390000 0.86727
19391000 0.867272
19392000 0.867275
19393000 0.867277
19394000 0.867279
19395000 0.867281
19396000 0.867284
19397000 0.867286
19398000 0.867289
19399000 0.86729
19400000 0.867293
19401000 0.867295
19402000 0.867296
19403000 0.867297
19404000 0.867298
19405000 0.867299
19406000 0.8673
19407000 0.867301
19408000 0.867301
19409000 0.867304
19410000 0.867308
19411000 0.867314
19412000 0.867316
19413000 0.867321
19414000 0.867323
19415000 0.867327
19416000 0.86733
19417000 0.867332
19418000 0.867335
19419000 0.867337
19420000 0.86734
19421000 0.867343
19422000 0.867343
19423000 0.867345
19424000 0.867346
19425000 0.867348
19426000 0.86735
19427000 0.867351
