# Time-averaged data for fix pave
# TimeStep v_pressure
13228000 935.385
13229000 935.378
13230000 935.117
13231000 934.768
13232000 934.538
13233000 934.519
13234000 934.438
13235000 934.633
13236000 934.571
13237000 934.493
13238000 934.27
13239000 934.326
13240000 934.648
13241000 934.437
13242000 933.938
13243000 933.869
13244000 933.987
13245000 934.035
13246000 934.039
13247000 933.974
13248000 933.952
13249000 934.121
13250000 933.895
13251000 934.24
13252000 933.976
13253000 933.787
13254000 933.556
13255000 933.519
13256000 933.201
13257000 933.173
13258000 933.074
13259000 933.23
13260000 933.318
13261000 933.496
13262000 934.066
13263000 934.678
13264000 934.756
13265000 935.152
13266000 935.512
13267000 935.569
13268000 935.525
13269000 935.678
13270000 935.685
13271000 935.681
13272000 935.63
13273000 935.704
13274000 935.526
13275000 935.808
13276000 936.106
13277000 936.131
13278000 936.246
13279000 936.164
13280000 935.903
13281000 935.809
13282000 935.719
13283000 935.525
13284000 935.681
13285000 935.497
13286000 935.47
13287000 935.417
13288000 935.321
13289000 935.077
13290000 934.899
13291000 934.761
13292000 934.558
13293000 934.432
13294000 934.019
13295000 933.635
13296000 933.69
13297000 933.724
13298000 933.338
13299000 932.987
13300000 932.663
13301000 932.338
13302000 932.41
13303000 932.824
13304000 932.873
13305000 932.89
13306000 932.714
13307000 932.8
13308000 932.837
13309000 932.866
13310000 932.867
13311000 932.741
13312000 932.76
13313000 932.738
13314000 932.676
13315000 932.525
13316000 932.416
13317000 932.368
13318000 932.49
13319000 932.488
13320000 932.426
13321000 932.259
13322000 932.183
13323000 932.271
13324000 931.897
13325000 931.76
13326000 931.501
13327000 931.359
13328000 931.378
13329000 931.548
13330000 931.572
13331000 931.968
13332000 932.079
13333000 932.467
13334000 932.367
13335000 932.289
13336000 932.172
13337000 932.108
13338000 931.996
13339000 931.728
13340000 931.821
13341000 932.069
13342000 932.152
13343000 932.269
13344000 932.761
13345000 933.013
13346000 933.211
13347000 933.411
13348000 933.806
13349000 934.092
13350000 934.526
13351000 934.835
13352000 935.019
13353000 935.063
13354000 935.295
13355000 935.728
13356000 935.998
13357000 936.22
13358000 936.338
13359000 936.718
13360000 936.932
13361000 937.098
13362000 937.42
13363000 937.822
13364000 938.052
13365000 938.177
13366000 938.525
13367000 938.642
13368000 938.923
13369000 939.401
13370000 939.627
13371000 939.851
13372000 940.065
13373000 940.283
13374000 940.196
13375000 940.283
13376000 940.231
13377000 939.906
13378000 939.783
13379000 939.88
13380000 939.52
13381000 939.25
13382000 939.29
13383000 939.187
13384000 939.302
13385000 939.47
13386000 939.324
13387000 939.495
