# Time-averaged data for fix pave
# TimeStep v_pressure
18327000 987.073
18328000 987.037
18329000 987.091
18330000 987.056
18331000 987.053
18332000 987.029
18333000 987.143
18334000 987.094
18335000 987.248
18336000 987.107
18337000 987.068
18338000 987.072
18339000 987.113
18340000 987.084
18341000 987.083
18342000 987.128
18343000 987.065
18344000 987.142
18345000 987.099
18346000 987.017
18347000 987.09
18348000 987.133
18349000 987.037
18350000 987.075
18351000 987.128
18352000 987.178
18353000 987.079
18354000 987.098
18355000 987.072
18356000 987.082
18357000 987.122
18358000 987.098
18359000 987.057
18360000 987.042
18361000 987.112
18362000 987.086
18363000 987.107
18364000 987.099
18365000 987.073
18366000 987.06
18367000 987.105
18368000 987.028
18369000 987.115
18370000 987.149
18371000 987.142
18372000 987.098
18373000 987.091
18374000 987.132
18375000 987.08
18376000 987.07
18377000 987.04
18378000 987.13
18379000 987.099
18380000 987.036
18381000 987.113
18382000 987.141
18383000 987.164
18384000 987.076
18385000 987.013
18386000 987.067
18387000 987.062
18388000 987.027
18389000 987.082
18390000 987.072
18391000 987.116
18392000 987.063
18393000 987.142
18394000 987.13
18395000 987.04
18396000 987.05
18397000 987.083
18398000 987.086
18399000 987.115
18400000 987.052
18401000 987.111
18402000 987.049
18403000 987.075
18404000 987.078
18405000 987.083
18406000 987.04
18407000 987.087
18408000 987.044
18409000 987.066
18410000 987.139
18411000 987.085
18412000 987.135
18413000 987.138
18414000 987.056
18415000 987.102
18416000 987.099
18417000 987.149
18418000 987.068
18419000 987.083
18420000 987.082
18421000 987.092
18422000 987.102
18423000 987.137
18424000 987.092
18425000 987.078
18426000 987.033
18427000 987.125
18428000 987.194
18429000 987.053
18430000 987.126
18431000 987.135
18432000 987.066
18433000 987.112
18434000 987.098
18435000 987.069
18436000 987.1
18437000 987.104
18438000 987.059
18439000 987.077
18440000 987.108
18441000 987.104
18442000 987.07
18443000 987.042
18444000 987.115
18445000 987.095
18446000 987.088
18447000 987.134
18448000 987.071
18449000 987.144
18450000 987.075
18451000 987.081
18452000 987.129
18453000 987.078
18454000 987.131
18455000 987.071
18456000 987.119
18457000 987.108
18458000 987.111
18459000 987.084
18460000 987.079
18461000 987.034
18462000 987.066
18463000 987.107
18464000 987.053
18465000 987.133
18466000 987.079
18467000 987.098
18468000 987.114
18469000 987.049
18470000 987.103
18471000 987.067
18472000 987.104
18473000 987.065
18474000 987.028
18475000 987.119
18476000 987.089
18477000 987.087
18478000 987.104
18479000 987.126
18480000 987.079
18481000 987.092
18482000 987.088
18483000 987.105
18484000 987.114
18485000 987.043
18486000 987.017
18487000 987.097
18488000 987.063
18489000 987.122
18490000 987.101
18491000 987.08
18492000 987.068
18493000 987.077
18494000 987.111
18495000 987.101
18496000 987.137
18497000 987.082
18498000 987.142
18499000 987.078
18500000 987.113
18501000 987.096
18502000 987.091
18503000 987.087
18504000 987.082
18505000 987.049
18506000 987.128
18507000 987.076
