# Time-averaged data for fix tave
# TimeStep v_temperature
13524000 292.832
13525000 292.837
13526000 292.836
13527000 292.836
13528000 292.835
13529000 292.833
13530000 292.834
13531000 292.832
13532000 292.831
13533000 292.827
13534000 292.827
13535000 292.827
13536000 292.83
13537000 292.831
13538000 292.834
13539000 292.832
13540000 292.833
13541000 292.831
13542000 292.831
13543000 292.83
13544000 292.835
13545000 292.833
13546000 292.833
13547000 292.832
13548000 292.835
13549000 292.837
13550000 292.837
13551000 292.837
13552000 292.835
13553000 292.833
13554000 292.833
13555000 292.831
13556000 292.833
13557000 292.836
13558000 292.839
13559000 292.842
13560000 292.842
13561000 292.841
13562000 292.845
13563000 292.842
13564000 292.84
13565000 292.838
13566000 292.839
13567000 292.837
13568000 292.836
13569000 292.833
13570000 292.834
13571000 292.832
13572000 292.832
13573000 292.834
13574000 292.833
13575000 292.832
13576000 292.83
13577000 292.831
13578000 292.828
13579000 292.829
13580000 292.83
13581000 292.83
13582000 292.83
13583000 292.834
13584000 292.835
13585000 292.836
13586000 292.837
13587000 292.836
13588000 292.833
13589000 292.831
13590000 292.832
13591000 292.832
13592000 292.832
13593000 292.836
13594000 292.837
13595000 292.837
13596000 292.84
13597000 292.841
13598000 292.843
13599000 292.841
13600000 292.842
13601000 292.842
13602000 292.843
13603000 292.846
13604000 292.846
13605000 292.843
13606000 292.844
13607000 292.841
13608000 292.84
13609000 292.839
13610000 292.839
13611000 292.839
13612000 292.837
13613000 292.839
13614000 292.839
13615000 292.841
13616000 292.841
13617000 292.841
13618000 292.839
13619000 292.839
13620000 292.84
13621000 292.838
13622000 292.839
13623000 292.843
13624000 292.842
13625000 292.843
13626000 292.84
13627000 292.839
13628000 292.839
13629000 292.84
13630000 292.839
13631000 292.84
13632000 292.841
13633000 292.841
13634000 292.839
13635000 292.841
13636000 292.838
13637000 292.837
13638000 292.837
13639000 292.839
13640000 292.842
13641000 292.841
13642000 292.84
13643000 292.841
13644000 292.842
13645000 292.842
13646000 292.841
13647000 292.841
13648000 292.843
13649000 292.846
