# Time-averaged data for fix tave
# TimeStep v_temperature
18212000 293.072
18213000 293.074
18214000 293.069
18215000 293.064
18216000 293.053
18217000 293.059
18218000 293.058
18219000 293.052
18220000 293.051
18221000 293.057
18222000 293.057
18223000 293.058
18224000 293.051
18225000 293.05
18226000 293.056
18227000 293.058
18228000 293.058
18229000 293.05
18230000 293.047
18231000 293.049
18232000 293.054
18233000 293.051
18234000 293.047
18235000 293.046
18236000 293.046
18237000 293.046
18238000 293.04
18239000 293.042
18240000 293.042
18241000 293.047
18242000 293.045
18243000 293.043
18244000 293.042
18245000 293.042
18246000 293.044
18247000 293.047
18248000 293.039
18249000 293.037
18250000 293.033
18251000 293.032
18252000 293.034
18253000 293.031
18254000 293.036
18255000 293.038
18256000 293.044
18257000 293.049
18258000 293.044
18259000 293.048
18260000 293.05
18261000 293.051
18262000 293.043
18263000 293.043
18264000 293.046
18265000 293.047
18266000 293.05
18267000 293.052
18268000 293.053
18269000 293.051
18270000 293.043
18271000 293.038
18272000 293.032
18273000 293.032
18274000 293.034
18275000 293.031
18276000 293.025
18277000 293.023
18278000 293.023
18279000 293.022
18280000 293.013
18281000 293.011
18282000 293.014
18283000 293.013
18284000 293.01
18285000 293.005
18286000 293.001
18287000 293.001
18288000 293.002
18289000 293.003
18290000 293
18291000 292.997
18292000 292.998
18293000 293.001
18294000 293.001
18295000 293.002
18296000 293.005
18297000 293.004
18298000 292.996
18299000 292.998
18300000 293.004
18301000 293.004
18302000 293
18303000 292.997
18304000 292.996
18305000 292.999
18306000 293.001
18307000 293
18308000 292.997
18309000 292.993
18310000 292.989
18311000 292.988
18312000 292.992
18313000 292.994
18314000 292.996
18315000 292.994
18316000 292.999
18317000 293.003
18318000 293.002
18319000 293.005
18320000 293.006
18321000 293.012
18322000 293.012
18323000 293.01
18324000 293.01
18325000 293.013
18326000 293.015
18327000 293.015
18328000 293.02
18329000 293.02
18330000 293.019
18331000 293.016
18332000 293.021
18333000 293.018
18334000 293.016
18335000 293.013
18336000 293.006
18337000 293.01
18338000 293.005
18339000 293.005
18340000 293.007
18341000 293.004
18342000 293.003
18343000 293.001
18344000 293
18345000 292.997
18346000 292.993
18347000 292.996
18348000 292.994
18349000 292.991
18350000 292.988
18351000 292.991
18352000 292.99
18353000 292.985
18354000 292.986
18355000 292.981
18356000 292.981
18357000 292.984
18358000 292.985
18359000 292.987
18360000 292.993
18361000 292.992
18362000 292.994
18363000 292.991
18364000 292.992
18365000 292.988
18366000 292.995
18367000 292.996
18368000 292.998
18369000 292.999
18370000 292.997
18371000 293
18372000 293.001
18373000 292.997
18374000 292.999
18375000 292.998
18376000 292.998
18377000 292.999
18378000 292.995
18379000 292.995
18380000 292.999
18381000 293.001
18382000 293.004
18383000 293.003
18384000 293.006
18385000 293.005
18386000 293.002
18387000 293.005
18388000 293.005
18389000 293.003
18390000 292.997
18391000 292.994
18392000 292.993
18393000 292.994
18394000 292.999
18395000 293.004
18396000 293.005
18397000 293.005
18398000 293.004
18399000 293.002
18400000 293.008
18401000 293.006
18402000 293.007
18403000 293.006
18404000 293.001
18405000 292.999
18406000 292.997
18407000 292.995
18408000 292.994
18409000 292.993
18410000 292.994
18411000 292.992
18412000 292.99
18413000 292.988
18414000 292.988
18415000 292.988
18416000 292.987
18417000 292.986
18418000 292.989
18419000 292.982
18420000 292.984
18421000 292.985
18422000 292.987
18423000 292.991
18424000 292.992
18425000 292.992
18426000 292.99
18427000 292.99
18428000 292.99
18429000 292.994
18430000 292.992
18431000 292.994
18432000 292.992
18433000 292.992
18434000 292.992
18435000 292.991
18436000 292.993
18437000 292.993
18438000 292.995
18439000 292.993
18440000 292.989
18441000 292.992
18442000 292.99
18443000 292.992
18444000 292.993
18445000 292.995
18446000 292.994
18447000 292.992
18448000 292.986
18449000 292.987
18450000 292.986
18451000 292.983
18452000 292.983
18453000 292.984
18454000 292.984
18455000 292.982
18456000 292.982
18457000 292.982
18458000 292.982
18459000 292.982
18460000 292.979
18461000 292.979
18462000 292.983
18463000 292.979
18464000 292.978
18465000 292.977
18466000 292.977
18467000 292.975
18468000 292.976
18469000 292.976
18470000 292.98
18471000 292.98
18472000 292.984
18473000 292.982
18474000 292.984
18475000 292.984
18476000 292.984
18477000 292.983
18478000 292.985
18479000 292.987
18480000 292.986
18481000 292.985
18482000 292.986
18483000 292.989
18484000 292.989
18485000 292.988
18486000 292.989
18487000 292.992
18488000 292.988
18489000 292.987
18490000 292.984
18491000 292.983
18492000 292.984
18493000 292.985
18494000 292.987
18495000 292.986
18496000 292.988
18497000 292.986
18498000 292.984
18499000 292.981
18500000 292.981
18501000 292.981
18502000 292.978
18503000 292.977
18504000 292.974
18505000 292.973
18506000 292.972
